muni_id,muni_name,intersection_count
1701010,Alsip,1198
1702154,Arlington Heights,3220
1703844,Barrington,758
1703883,Barrington Hills,398
1704572,Bedford Park,303
1704975,Bellwood,714
1705404,Berkeley,175
1705573,Berwyn,1529
1706704,Blue Island,1054
1708225,Bridgeview,936
1708446,Broadview,525
1708576,Brookfield,884
1709642,Burbank,1018
1709798,Burnham,157
1710487,Calumet City,1726
1710513,Calumet Park,409
1714000,Chicago,66860
1714026,Chicago Heights,1826
1714065,Chicago Ridge,637
1714351,Cicero,1834
1716691,Country Club Hills,680
1716873,Countryside,459
1717497,Crestwood,720
1719642,Des Plaines,2933
1720149,Dixmoor,107
1720292,Dolton,1042
1721904,East Hazel Crest,73
1723256,Elk Grove Village,2211
1723724,Elmwood Park,660
1724582,Evanston,2458
1724634,Evergreen Park,890
1726571,Flossmoor,463
1726710,Ford Heights,151
1726935,Forest Park,732
1726987,Forest View,29
1727702,Franklin Park,1140
1729652,Glencoe,365
1729938,Glenview,2670
1730029,Glenwood,448
1730328,Golf,22
1733383,Harvey,1783
1733435,Harwood Heights,295
1733695,Hazel Crest,461
1734514,Hickory Hills,604
1735086,Hillside,608
1735385,Hodgkins,311
1735411,Hoffman Estates,930
1735866,Hometown,106
1735879,Homewood,955
1737257,Indian Head Park,121
1737608,Inverness,299
1738830,Justice,574
1739519,Kenilworth,106
1740767,La Grange,604
1740793,La Grange Park,357
1742028,Lansing,1700
1742795,Lemont,851
1743744,Lincolnwood,712
1745421,Lynwood,399
1745434,Lyons,507
1745564,McCook,249
1747007,Markham,655
1747540,Matteson,1259
1747774,Maywood,876
1748242,Melrose Park,1043
1748554,Merrionette Park,98
1748892,Midlothian,575
1750647,Morton Grove,1176
1751089,Mount Prospect,2067
1753000,Niles,1394
1753377,Norridge,470
1753481,Northbrook,2081
1753663,Northfield,402
1753871,Northlake,498
1754144,North Riverside,284
1754638,Oak Forest,873
1754820,Oak Lawn,2328
1754885,Oak Park,1488
1755938,Olympia Fields,450
1756627,Orland Hills,239
1756640,Orland Park,3444
1757225,Palatine,2491
1757381,Palos Heights,795
1757394,Palos Hills,637
1757407,Palos Park,240
1757732,Park Forest,730
1757875,Park Ridge,1486
1759572,Phoenix,143
1761314,Posen,261
1762016,Prospect Heights,385
1763706,Richton Park,503
1764278,Riverdale,633
1764304,River Forest,345
1764343,River Grove,515
1764421,Riverside,289
1764616,Robbins,218
1765338,Rolling Meadows,1147
1765819,Rosemont,249
1767769,Sauk Village,310
1768003,Schaumburg,3385
1768081,Schiller Park,525
1770122,Skokie,3082
1770564,South Barrington,264
1770629,South Chicago Heights,323
1770850,South Holland,1131
1772520,Steger,412
1772676,Stickney,237
1772923,Stone Park,165
1773157,Streamwood,1224
1773638,Summit,454
1775185,Thornton,165
1775484,Tinley Park,2863
1780047,Westchester,602
1780242,Western Springs,390
1781087,Wheeling,1888
1782049,Willow Springs,259
1782075,Wilmette,1060
1782530,Winnetka,499
1783518,Worth,505
